id,campaign_id,project_id
7ac4a4e8-5260-4402-b70e-97dab3c01a83,2a6187b9-2fab-4802-aa86-62dce41249c2,e56615f6-ca25-479d-ad0d-d954ecc47775
46f6309b-34d5-4158-8589-43687e72e2bc,45260748-d42e-48c9-9f77-807ee554fb17,030f0c62-f14f-49c8-aac3-d6f6ca95ab10
3c0732c8-4718-450f-acc2-45a4d3092fd0,1c268e4a-ba64-44fd-9178-21c626dfa540,65836c43-c95d-4f77-9f6e-d4518bee19f1
c83a0cfc-c7ac-402e-a263-ee8e7968e19d,2a6187b9-2fab-4802-aa86-62dce41249c2,26549888-d68d-4559-ae94-e690f4f26df1
0171efe3-37c6-4833-adbe-6939c2364cf2,45260748-d42e-48c9-9f77-807ee554fb17,050343b6-beb4-4f8b-a8a6-0906b2d08d5a
95c8414a-5aed-489d-91a3-dab41031a204,2a6187b9-2fab-4802-aa86-62dce41249c2,404a4ed0-edbc-4a27-a973-354d5f88d04e
10b87f77-38bd-40dc-8cd7-8e7c3755c8b3,2a6187b9-2fab-4802-aa86-62dce41249c2,a8fb9a2f-ed41-49f3-8bce-8a4ecb384f25
374123bf-03bb-4739-93e0-ccca3624f76a,2a6187b9-2fab-4802-aa86-62dce41249c2,a5d3392d-e76f-4681-9787-537ae276a5e7
b73e13f1-7ec8-44ad-8eab-9a9b1592c278,2a6187b9-2fab-4802-aa86-62dce41249c2,9c9aa50d-afe4-4986-af35-22fecc3986d4
a329372a-7ffe-4acd-b3fe-30483c3fdf66,2a6187b9-2fab-4802-aa86-62dce41249c2,987ee0f8-1cc2-4d07-a14b-87c598848a7b
79352212-0aa9-4b2d-9449-b5e8296b81a8,2a6187b9-2fab-4802-aa86-62dce41249c2,72b3f853-1862-469e-839b-623c9a79c37f
f5f7a608-b583-45c1-9963-0e1568c94210,2a6187b9-2fab-4802-aa86-62dce41249c2,36e4201b-829b-44f5-b53d-7bff098a23bf
a33c41e5-5450-41bb-967a-d0f72ae9838d,45260748-d42e-48c9-9f77-807ee554fb17,52c757f1-c7af-4ac2-83c5-493643962e5b
11f7db30-e7db-4bd5-922c-d05c5782b3b0,45260748-d42e-48c9-9f77-807ee554fb17,f7b474e9-3385-4f50-bcd0-45f667cdda3f
9c22b1f3-a0c8-4bbe-86d1-b00529ac796a,45260748-d42e-48c9-9f77-807ee554fb17,bb83d9db-97ef-4faf-bbbf-488c6096460d
e3980008-aa84-45d4-b421-7d22ec1528aa,45260748-d42e-48c9-9f77-807ee554fb17,747dfaa5-61a9-4d2a-b991-ebc725638d7a
f92647e3-e611-4742-85b0-e5f86cf9db79,45260748-d42e-48c9-9f77-807ee554fb17,5c2a85e5-6c9c-459d-bd4d-5925d3a7960c
4eb7eacb-0083-4dda-9440-c302a36a93a2,45260748-d42e-48c9-9f77-807ee554fb17,3248e74d-9c34-48cd-9e01-a14d35080432
00e7cb83-4cea-4a86-ba45-fc3ee8ad4dbb,45260748-d42e-48c9-9f77-807ee554fb17,5ea3e4f1-f1cb-4d93-bda7-0a72bd4932f1
c65e825b-8db2-4e8c-9085-0eccc62c56ea,1c268e4a-ba64-44fd-9178-21c626dfa540,ac1f9c17-6fa9-4766-81a3-41331d5d47b2
fb1830ec-8171-4a2c-8cc6-0c75caa38a9e,1c268e4a-ba64-44fd-9178-21c626dfa540,dbaf6b5e-4d23-4ecd-9fd4-0095e7626865
e0ebb2aa-bea5-4231-bf40-3854be0a1c2e,1c268e4a-ba64-44fd-9178-21c626dfa540,599e5f4c-630c-445c-8b3a-c36aa056c869
e5546a37-bb98-4627-b6d5-30982f47006c,1c268e4a-ba64-44fd-9178-21c626dfa540,0b9ce3a2-d8e1-4cdf-8f1f-01d848d69f50
d5cff820-d79b-4966-bfb7-18c8b1c5a627,e2ffb5ea-73d2-479e-bbe2-0292fd2d24cb,952baeeb-7d5a-4b59-824b-1d83fbc44c8a
2d01db7b-ddb6-4fdc-b64d-0e7a0db61313,e2ffb5ea-73d2-479e-bbe2-0292fd2d24cb,554d4e70-1ed0-4a6a-8df2-1077f9d1a2e4
9db1e1c3-22e4-435a-81d5-a31ee998f8b1,e2ffb5ea-73d2-479e-bbe2-0292fd2d24cb,13442465-92ab-4908-8700-affded749cd4
ddc98fbb-8c37-488a-a1f7-75a20c1099d5,ea27e7a8-1f76-48f0-abf5-78b3eefa591f,e6320803-2a94-48f5-b550-bf5a5df464c9
07a2fa5e-2336-4785-b787-4885c7757a00,ea27e7a8-1f76-48f0-abf5-78b3eefa591f,3622d39c-32f3-46f5-9bd4-9d0deb2e7cd3
42c14671-97f5-4426-b0ba-125e0d82424f,ea27e7a8-1f76-48f0-abf5-78b3eefa591f,cb2af77e-f695-44af-9146-6c2d16cfd3e2
